,,All people: Total,All people: Males,All people: Females,Lives in a household: Total,Lives in a household: Males,Lives in a household: Females,Lives in a communal establishment: Total,Lives in a communal establishment: Males,Lives in a communal establishment: Females
Shetland,18 to 19,516,297,219,515,296,219,1,1,-
Shetland,20 to 24,"1,295",671,624,"1,291",669,622,4,2,2
Shetland,25 to 29,"1,253",653,600,"1,252",652,600,1,1,-
Shetland,30 to 34,"1,403",707,696,"1,401",706,695,2,1,1
Shetland,35 to 39,"1,533",782,751,"1,529",779,750,4,3,1
Shetland,40 to 44,"1,670",836,834,"1,668",834,834,2,2,-
Shetland,45 to 49,"1,841",952,889,"1,837",951,886,4,1,3
Shetland,50 to 54,"1,629",833,796,"1,618",827,791,11,6,5
Shetland,55 to 59,"1,593",824,769,"1,591",822,769,2,2,-
Shetland,60 to 64,"1,557",842,715,"1,551",839,712,6,3,3
Shetland,65 to 69,"1,230",601,629,"1,222",598,624,8,3,5
Shetland,70 to 74,913,450,463,900,443,457,13,7,6
Shetland,75 to 79,687,304,383,669,298,371,18,6,12
Shetland,80 to 84,491,204,287,467,199,268,24,5,19
Shetland,85 to 89,296,102,194,251,91,160,45,11,34
Shetland,90 to 94,124,37,87,102,34,68,22,3,19
Shetland,95 and over,36,7,29,23,5,18,13,2,11
Tayside,All people,"409,709","198,265","211,444","398,537","192,794","205,743","11,172","5,471","5,701"
Tayside,0 to 4,"21,068","10,733","10,335","21,031","10,711","10,320",37,22,15
Tayside,5 to 9,"20,251","10,365","9,886","20,199","10,338","9,861",52,27,25
Tayside,10 to 11,"8,711","4,458","4,253","8,644","4,410","4,234",67,48,19
Tayside,12 to 14,"14,169","7,256","6,913","13,849","7,099","6,750",320,157,163
Tayside,15,"4,905","2,482","2,423","4,758","2,407","2,351",147,75,72
Tayside,16 to 17,"9,601","4,932","4,669","9,186","4,732","4,454",415,200,215
Tayside,18 to 19,"11,853","5,906","5,947","9,746","4,944","4,802","2,107",962,"1,145"
